#Wj xj yj
-3.058280570249039e-05 -24.70921986666667 -14.916666666666666
-1.2363095643966139e-05 -24.854609933333336 -14.75
2.08191953480923e-05 -24.70921986666667 -14.5
1.6012267155085145e-05 -24.854609933333336 -14.25
-5.817102581208688e-05 -24.70921986666667 -14.0
-6.452468937602834e-05 -24.854609933333336 -13.75
-0.0001945672477931725 -24.70921986666667 -13.5
-0.00019592979797368655 -24.854609933333336 -13.25
-0.0002780055458763231 -24.70921986666667 -13.0
-0.0002740061898965503 -24.854609933333336 -12.75
-0.0002083431540551133 -24.70921986666667 -12.5
-0.0002109478608254147 -24.854609933333336 -12.25
3.598464776213614e-05 -24.70921986666667 -12.0
1.0873573111074564e-05 -24.854609933333336 -11.75
0.00039067579657225287 -24.70921986666667 -11.5
0.0003329137684161174 -24.854609933333336 -11.25
0.0007542331471581693 -24.70921986666667 -11.0
0.0006639489312763508 -24.854609933333336 -10.75
0.001048934432487937 -24.70921986666667 -10.5
0.000934325720506609 -24.854609933333336 -10.25
0.0012470364004068364 -24.70921986666667 -10.0
0.001118912954268472 -24.854609933333336 -9.75
0.0013558080395833457 -24.70921986666667 -9.5
0.0012248258064615509 -24.854609933333336 -9.25
0.00139360425777926 -24.70921986666667 -9.0
0.0012712255677337538 -24.854609933333336 -8.75
0.0013834942153586457 -24.70921986666667 -8.5
0.0012821736539200962 -24.854609933333336 -8.25
0.0013600961202105805 -24.70921986666667 -8.0
0.0012881262331550423 -24.854609933333336 -7.75
0.001369239160566119 -24.70921986666667 -7.5
0.0013221340550092864 -24.854609933333336 -7.25
0.001452230654309081 -24.70921986666667 -7.0
0.0014081652071273423 -24.854609933333336 -6.75
0.0016271341373311854 -24.70921986666667 -6.5
0.001551441424711933 -24.854609933333336 -6.25
0.0018825440693002436 -24.70921986666667 -6.0
0.0017393609465978133 -24.854609933333336 -5.75
0.002187375724328972 -24.70921986666667 -5.5
0.0019518254508987132 -24.854609933333336 -5.25
0.0025078896752214743 -24.70921986666667 -5.0
0.002172529731548279 -24.854609933333336 -4.75
0.0028204621105046806 -24.70921986666667 -4.5
0.002393886375905814 -24.854609933333336 -4.25
0.003114561481391151 -24.70921986666667 -4.0
0.0026143483259577095 -24.854609933333336 -3.75
0.003387743574859013 -24.70921986666667 -3.5
0.0028322019832410644 -24.854609933333336 -3.25
0.0036384810419247157 -24.70921986666667 -3.0
0.0030411570598597526 -24.854609933333336 -2.75
0.003861932580890534 -24.70921986666667 -2.5
0.0032303314168403846 -24.854609933333336 -2.25
0.004050260631823669 -24.70921986666667 -2.0
0.0033877154792386122 -24.854609933333336 -1.75
0.00419596138747481 -24.70921986666667 -1.5
0.0035043723534301414 -24.854609933333336 -1.25
0.0042952384997341315 -24.70921986666667 -1.0
0.003576757517576985 -24.854609933333336 -0.75
0.0043489024252869905 -24.70921986666667 -0.5
0.0036060208159779485 -24.854609933333336 -0.25
0.004360378619113203 -24.70921986666667 0.0
0.003595361510059676 -24.854609933333336 0.25
0.00433283539187261 -24.70921986666667 0.5
0.003547516782451741 -24.854609933333336 0.75
0.004267233603890579 -24.70921986666667 1.0
0.0034635820317437263 -24.854609933333336 1.25
0.0041626457517789355 -24.70921986666667 1.5
0.003344306230495612 -24.854609933333336 1.75
0.004018771636225505 -24.70921986666667 2.0
0.0031924582227086822 -24.854609933333336 2.25
0.003837887692337067 -24.70921986666667 2.5
0.0030140363295197994 -24.854609933333336 2.75
0.003624557697809981 -24.70921986666667 3.0
0.0028172800430351767 -24.854609933333336 3.25
0.003383351650393385 -24.70921986666667 3.5
0.0026098425567438995 -24.854609933333336 3.75
0.0031165065448855557 -24.70921986666667 4.0
0.0023960443656105166 -24.854609933333336 4.25
0.002824111586680297 -24.70921986666667 4.5
0.0021768033375523963 -24.854609933333336 4.75
0.0025083197383655603 -24.70921986666667 5.0
0.001953413142077192 -24.854609933333336 5.25
0.0021799818525903986 -24.70921986666667 5.5
0.0017331559280270895 -24.854609933333336 5.75
0.0018630880782277105 -24.70921986666667 6.0
0.0015322971932937254 -24.854609933333336 6.25
0.0015921627905633833 -24.70921986666667 6.5
0.0013726224525471595 -24.854609933333336 6.75
0.0014010634292491184 -24.70921986666667 7.0
0.001271531313856775 -24.854609933333336 7.25
0.0013070464295077185 -24.70921986666667 7.5
0.001230550771420029 -24.854609933333336 7.75
0.0012987577129398957 -24.70921986666667 8.0
0.001229595944988189 -24.854609933333336 8.25
0.0013365934768864451 -24.70921986666667 8.5
0.001231225426432838 -24.854609933333336 8.75
0.0013662319470030809 -24.70921986666667 9.0
0.0011925707804889946 -24.854609933333336 9.25
0.0013371359710194354 -24.70921986666667 9.5
0.0010790768422079963 -24.854609933333336 9.75
0.0012162883913679292 -24.70921986666667 10.0
0.0008764513115602725 -24.854609933333336 10.25
0.0009953351103327065 -24.70921986666667 10.5
0.0006007869370838211 -24.854609933333336 10.75
0.0006958993178096412 -24.70921986666667 11.0
0.00030286046821068985 -24.854609933333336 11.25
0.00037179690743314574 -24.70921986666667 11.5
5.5454206671900576e-05 -24.854609933333336 11.75
