#Wj xj yj
2.5624649763937317e-60 0.144425188 0.041666666666666664
2.4752449058925388e-60 0.072212594 0.125
2.3937702381094913e-60 0.144425188 0.25
2.2874274833665706e-60 0.072212594 0.375
2.2272300367129826e-60 0.144425188 0.5
2.1521510986275905e-60 0.072212594 0.625
2.1128866453758497e-60 0.144425188 0.75
2.065303043654773e-60 0.072212594 0.875
2.0402846226611532e-60 0.144425188 1.0
2.0120126740545197e-60 0.072212594 1.125
1.9971503557713785e-60 0.144425188 1.25
1.98095847062092e-60 0.072212594 1.375
1.971624050897191e-60 0.144425188 1.5
1.9627252005248284e-60 0.072212594 1.625
1.958588631114744e-60 0.144425188 1.75
1.9540029134992572e-60 0.072212594 1.875
1.9538780605467852e-60 0.144425188 2.0
1.9515428698618147e-60 0.072212594 2.125
1.9535330246420316e-60 0.144425188 2.25
1.9512952777042328e-60 0.072212594 2.375
1.9533738866847574e-60 0.144425188 2.5
1.9512750170368336e-60 0.072212594 2.625
1.9534806138250945e-60 0.144425188 2.75
1.951437269651123e-60 0.072212594 2.875
1.9536878093643113e-60 0.144425188 3.0
1.9535820499804526e-60 0.072212594 3.125
1.9579045017366052e-60 0.144425188 3.25
1.961610276167024e-60 0.072212594 3.375
1.970043186188632e-60 0.144425188 3.5
1.9789864761874138e-60 0.072212594 3.625
1.9944871347398373e-60 0.144425188 3.75
2.0081186308740701e-60 0.072212594 3.875
2.0357265181936973e-60 0.144425188 4.0
2.0592063949650746e-60 0.072212594 4.125
2.1054215328120505e-60 0.144425188 4.25
2.14380603758476e-60 0.072212594 4.375
2.216190827760201e-60 0.144425188 4.5
2.2752609247950086e-60 0.072212594 4.625
2.3787296875185755e-60 0.144425188 4.75
2.4592924767158637e-60 0.072212594 4.875
2.5500332021797186e-60 0.144425188 4.958333333333333
2.616610126387112e-60 0.28885037566666666 0.041666666666666664
2.6354912710856453e-60 0.3610629693333333 0.125
2.4757125718812363e-60 0.28885037566666666 0.25
2.4110921609662962e-60 0.3610629693333333 0.375
2.2854387421438306e-60 0.28885037566666666 0.5
2.2350665053828146e-60 0.3610629693333333 0.625
2.151877103608973e-60 0.28885037566666666 0.75
2.117775028711843e-60 0.3610629693333333 0.875
2.0641091927249444e-60 0.28885037566666666 1.0
2.045223391766387e-60 0.3610629693333333 1.125
2.0112525919410167e-60 0.28885037566666666 1.25
2.0021864595174963e-60 0.3610629693333333 1.375
1.980918332746478e-60 0.28885037566666666 1.5
1.9821390175385402e-60 0.3610629693333333 1.625
